nickname;blurb
Kaylaa Mariee;When does Johnny’s team question her.?!???
giftsmeplz_;johnny paid mil off and left ez game
-;Notice how Johnny doesn’t look at her
Jordyn Elliott;the only reason I would consider liking amber is because she is hot
sherylburk03;When is she cross examined by johnnys team
-;Notice how Johnny doesn’t look at her
Angie.O_o;Plus the money she took from Johnny
Joanne McLaughlin;Blue hearts support amber?? how about a black heart!!
Im2prwtty4u;);What if I said justic for amber
Guilty_on_12_Counts;Johnny try to refrain from attacking crew members in the future. bruh.
Khaleesy VLH;why do they support Amber?
hughesdonna313;America don’t like you Amber Heard
Mack_c137;Justice for Johnny!!!!!!!!!!!!
PAPICON75;HOW IN THE WORLD PEEPS DNT KNOW HOW TO SPELL JOHNNY
Gael Antonio Renterí;Jonny on his 59 > Amber on her 30s
KevinJYoungJr;Johnny Depp being replaced as Jack Sparrow
Michael Walker4151;Aquaman was unwatchable, Amber owes me money too
Chubbs2828;amber heard confirms she in fact does not want to save the bees
Iceprincess;What about Johnny his lost by Disney
Edie Mooney;She is just getting mad does not like johnnys attorney
Yo Panayotova;We deffo do not love you Amber
AngelinaDela;Poor Johnny he lost 40 million
Piggy.;Amber yay go to prisoooon nooooooooww
Grace Danielson;Stop looking at Johnny
Gael Antonio Renterí;Jonny on his 59 > Amber on her 30s
user7129475430515;NO ONE CARES AMBER NO ONE
Mauro Almada;WHAT DO YOU THINK OF AMBER HEARD
mercuryfruit;johnny depp will expose if they don’t settle!! ITS ALL A TRAP
Gael Antonio Renterí;Jonny on his 59 > Amber on her 30s
Sarah Campbell;Why are we talking about justice league and aquaman instead of her allegations against Johnny
user50906512231;ya deja de mertir amber
Emi_Emi_;When dose it all end ? When is the decision made that amber is guilty
Logan;JOHNNY JOHNNY TEAM JOHNNY JOHNNY JOHNNY JOHNNY JOHNNY
Hannah Olson;The amount of money she had to pay for things and the amount of objections on Johnny’s team.
Karmic.Ways;TEAM JOHNNY FROM ALIENS OF MARS
Angie.xx<3;AMBER’S ONLY DOING THIS FOR HIS MONEY
malena5858;Didn’t Johnny win already
Gael Antonio Renterí;Jonny on his 59 > Amber on her 30s
Scream;@mustbethewhiskey_ no no we don’t. JUSTICE FOR JOHNNY
being.cecelia;Guys the only people supporting Amber are accounts sourced through her PR team
Karen Everett;You can thank Johnny for the Aquamannnnnnnn role
MissJoy;everybody know you are lying amber
Jay D;love amber??!!!!!??? not I
svfttvd;if you sue amber she will go broke yayyy
Hi!;Y’all imagine if we were wrong and amber isn’t the abuser? (Not on a mer side tho)
mahmoud Mossalem;REMOVE AMBER FROM AQUAMAN
Not lei<3;I do not support amber
Hayley;Johnny looking good today
lit;when she looks straight, johnny &co, left is then jury, right is judge
2008_aiden_bmx;Johnny should of hit her
Pronekestrel256;yo bro, just let Johnny win
Ryan Heslop;then I became a lawyer representing amber heard
mahmoud Mossalem;REMOVE AMBER FROM AQUAMAN
IDGF;aquashit if ever amber gets the role for aquaman 2
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND!
Nicolexxx;#justiceforjohnnydepp
B;@mustbethewhiskey_   No one supports Amber
LunaLovegood;Team Johnny Da Man Team John Da Don
CatherineRAuthor;I bet the only reason she got any of that is because she was attached to Johnny.
lenapap@;amber has hallucinations
Prince Dark;amber will never be forgiven for pirates 6
Khrishnee;Johnny all the wYyyyy
Deku Uchiha;Amber Heard > johnny depp
user7623295479075;I believe Johnny. My husband lies on me so family and friends could be on his side
Tami Rushing;Nobody supports amber hahaha
Sabrina Estevez;no one believes Amber
Wendy Harter Armentr;So let’s talk about all the money Johnny lost and all the movie deals and contracts that Johnny lost
Chelsealynn;anything with johnny its just stuttering
Kiss10day;Don’t nobody support Amber you have lost your mind
faith tiller;Johnny is the victim, that’s obvious
.;SOMEONE SAID THEY SUPPORT AMBER
Atrortega;que guay se ve amber<3\
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND
Lea Cozzette;Love Johnny she is a lying troll
Turtlesteps_Amy;Does Johnny have his candies?
Black Cat;Ambers prison mates are waiting for her
katti matti;ppl really saying that we all support amber….
reggie00000840;Do some COKE Amber!!!
mahmoud Mossalem;REMOVE AMBER FROM AQUAMAN
Justin malyn;Johnny lawyers look bored fr lol
Janie;loreal “because shes  worth it”.  amber was not
themexicanstallion;team amber are ABUSERS and actual NARCISSISTS smd TEAM JOHHNY
Malik;bro no one care about you anymore amber
Amanda;She keeps looking at the jury and Johnny to see if she’s getting a reaction from them.
user6233481908588;Amber you will win this
Eryn Kelley;I just wanna know what Johnny is writing
Drew;L’Oréal going to cut ties and join Johnny with Dior
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND
johnnyzuniga33;Johnny is in trouble I think
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND
Lisa Lynn;Justice for johnny,  she told her story, now let him tell his!!! Men are victims of dv too
Jordan;JOHNNY WAS SUPPOSE TO GET TRIPPLE THAT
Ben G7996;Amber needs to be replaced with Awkwafina in Aquaman!!!
Olga (:;Don’t lie no one supports amber
w4m1;i dont like amber ugh
Audrey Darlene;Amber you a scammmmerrr!!!!
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND
China;How sad is too see Johnny in this position. SHE IS A LIAR
Alissa Segrest;Someone really said Team Amber lol
Malik;Lmao j give up alr Amber
secret7271;bro even her parents a on johnny’s side
Jess;what’s in the bottle AMBER
Ebrownlie_9;johnny has been in 90 movies and you amber.....
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND
mid;@littleinsteins13threason theses two use to date but they broke up and amber is accusing johnny of
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND
user3089798814775;team johnny are narcissists! TEAM AMBER!
Karii Riios;She keep talking about the same 1 movie and Johnny lost his own self with jack sparrow
Liv Chapman;wow there is some team amber fan?! what is the world ahah
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND
Lisa Lynn;#justiceforjohnnydepp
Lifewithangielopez;So every major project she got was after being with Johnny?
Deku Uchiha;amber heard in the right bro i believe her 100%
Ioana.g.iana;@crissycriss is calling team Johnny narcissist
….;If you support amber leave right now
mercuryfruit;JOHNNY DEPP ABC EXECUTIVES ALL AT EPSTEIN ISLAND
Kim Monroe335;I’ll NEVER buy L’Oréal again after AMBER HEARD!!
Audrey Darlene;Ben and Johnny planning moves over there
sandra kay<3;who just said amber will win this???
Dequovios Jeelington Jamie 3rd;Johnny Depp Depp Depp depp
Juliet Gardiner;lol Johnny doodling farm animals over there
You don’t know me;Johnny doesn’t even look he knows he’s right
Mery;Is she acting like Johnny or is just me
user7129475430515;Only 2 people like AMBER that is the reality
Kpop edits;@A.Muizz she literally lied by about getting sexualize and abuse by johnny
PAin.clAN;Johnny you. Slapped me
MANIC;Johnny looks amazing despite amber lying
Abby;When do Johnny’s lawyers question amber??
Carter_1823;OK SO UR CONTRACT WAS OVER. NOT BC OF JOHNNY.
@jasmineslovak1971;Depp all the way for the win!
The Healing Stone;@lifeofaboricua blacklist Amber Heard in Hollywood
Kieshakianna;What does her contracts have to do with the abuse she put Johnny depp through
aumcassie;WHATEVER COMEZ OUT OF THIS AMBER YOU WILL BE FOREVER KNOWN AS THE ACTRESS WHO SHIT ON HER BED. ...
Prince Dark;get your amber voodoo dolls here
allor2_32098;You’re such a liar Amberturd
Gabriela;johnny you just hit me
harrietoliviasanders;Can not wait for johnnys lawyers to question her
Kinsley Brooks46;#justiceforjohnnydepp
user1014572348579;#justiceforjohnnydepp
Salomé;TAKE a megapint amber hahaha
Bleh.;#JUSTICEFORJOHNNYDEPP
Luna;EVERYONE LIKE WHEN JONNY IS ON SCREEN AND STOP WHEN AMBER IS
Tabatha Sadler;Her lawyer really needs to stop objecting when all Amber is doing is telling the truth
Julie Baer818;LOVE YOU JOHNNY.   STAY STRONG
Nani;This whole case is a joke, Johnny we stand with you.
follow-sjjj;Amber Heard loves women I don’t know why she married JD
Cattaleya;jhonny depp siamo con te
AhmedAli_87;If u want johnny to win add so_foody on instagram
yoonca;johnny deserves better
Bonna Daullja;She’s not copying Johnny today with her glasses
Fitri Musa;We should boycott loreal if it extend Amber’s contract
Terri;justice for JOHNNY!!!!
Um…;My friend is on amber’s side
DisneyAdult66;haha Johnny still has Dior!
YOUR MOM;Johnny husband come back
luzzyar;Justice for Johnny !!!!
Pam J;Johnny my love strength
tammycolon933;I just  Me here t o see johnny
ooSHERRYoo;my heart aches for johnny depp
userliz;Can’t wait to see johnnys lawyers get hold of her
colejohn227;why is this important. slanders on Johnny not on her
Mxnk3;Notice how when depp was there peple we’re gifting and now that ambers here no gifts
Danielle Tatie Gendr;I can wate to see Johnny’s lawyer in action
sein600;cuándo le toca a los abogados de Johnny hacerle preguntas a ella?
lives9lives;……///////////////WHEN AMBER’S KARMA CATCHES UP WITH HER…//////////……..YIIKES
Argie;How can y’all say justice for Johnny without hearing everything.  That’s just horrible!
Pamelapamela5959;We see thru your BS Amberturd! Justice for Johnny
deannamontgomery58;the new pirates movie will flop without johnny
user5739436270195;Amber Laura #justiceplayer
user7129475430515;AMBER WILL LOSE BECAUSE HER LIES HAVE BEEN EXPOSED
Emma Tyler;What’s in the water bottle amber?!?!?
Pedro.zop;Johnny probably doesn’t have his glasses on kkkkk
Emma Göransson227;speculation Amber lol
Gemma Marie;they will never believe you Johnny
Eva;Omg amber heard I love you your so wonderful and not a liar
Anna Marie Schroeder;All the jobs she lost, but what about all of the jobs Johnny lost?
nat.sober;all my homies hate amber heard
ognana_420;how to be a liar ...amber 101
Ruthie Cain;What about Johnny he hasn’t been able do anything but Dior since she started all this. So what she
Silent learning;DOG SUE AMBER FOR LYING
Mary;Maybe you shouldn’t lie then amber !
Mochi ;@609oma Amber heard has dated other men as well so not just women :/
gabifresh;People asking the relevance- They are trying to prove Johnny smeared her name and she lost work.
RNC;Maggie robby is replacing johnny in the next pirates
yuliya;Justice for Johnny Depp
A_kenfawyy;@happy.joy.joy cause it’s obvious Johnny is not guilty
Alecxidk_;QN DIJO TEAM AMBER TE VI
gisgab020;Whoever is an Amber heard team then you’re done
Kris;Go buy mens Dior!!!!- they are making bank since they kept Johnny
mendonca536;Johnny lost way more money than you Amber
Marina Cioroianu;@elliechambers48 are you blind
Cynthia Espinoza239;Never heard of Amber until she married JD
Helen;Put the camera back on Johnny please
victor;2.2 mill likes for our boy johnny
Savagery;It’s obviously all Johnny’s fault
Edie Mooney;Did you think Johnny would just let it go
Beard Man92;hope you win johnny. love you.
Ironleapyear;Johnny Depp for President
Ethan Dinan;person asking questions in amberls
Laura Martin;When is Johnny’s team I asking her asking ?
Kimi Jabberwock;strength Johnny, we support you
ID;Justice for Johnny !!!!!
texas302;JOHNNY FOR THE WIN !!!!
user;justice for Johnny and bee!!!!!
l3x1e______;JUSTICE FOR JOHNNY DEPP HE WILL GET HIS FREEDOM
Jafet_89;amber mi patronaAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
ID;If you love Johnny, press 444!!!!!
Lisa Corpeno;All Amber wants is Johnny money
cost.tracy;That is because of her not Johnny
Caroline Rose;team Johnny all the way
maf_ex;#justiceforjohnnydeep
clipzzz;DID I SEE SOMEONE SAY TEAM AMBER
Stephy Ng;SUPPORT AMBER = SUPPORT LIARS
Sierra;poor amber losing work
doot000000;I don’t like amber heard
maf_ex;#justiceforjohnnydeep
Angie.xx<3;Whoever is supporting Amber is practically supporting domestic violence
char;they’re talking about how much money she lost “bc of johnnys lawyers allegation”
excuseme;justice for Johnny, the bee, the carpet
brunette.aries;@happy.joy.joy Justice for Johnny
maf_ex;#justiceforjohnnydeep
Simone Simone;#JusticeforJohnnyDepp
enzo.appugliese;@noah.follow_back0 why u support amber?
Lili;@pureearthorganicskincare how do you know amber is the victim???
gisgab020;Sorry didn’t mean to say that but Johnny Depp didn’t even do anything so I don’t even know why y’all
Savagery;She’s so strong! #teamAmber
Simone Simone;#JusticeforJohnnyDepp
woeieuehenshbs;Amber can ruin my life too pls
avery metcalf;Talk about how in 2009, amber heard got arrested for beating up her girlfriend!!!!
DisneyAdult66;Team Johnny and Team Dior!
Stephy Ng;SUPPORT AMBER = SUPPORT LIARS
User Ellisecutewolf;@ethanmar_  why amber
Nikki Duncan;So Ok for Johnny to lose out on pirates 6 but not ok her losing out on aquaman franchise movies
Ang;Just admit it Johnny has more family more women in institutions and this is unfair trial
gloriaperea85;JOHNNY KING. AMBER LIER
HAChrist;great job , amber - i believe you
woeieuehenshbs;Amber can ruin my life too pls
Stephy Ng;SUPPORT AMBER = SUPPORT LIARS
Kade;what’s this got to do with her and johnny
jade;ayo theres someone in here who supports amber lmao what
woeieuehenshbs;Amber can ruin my life too pls
Tin@;AMBER AMBER AMBER JUSTICE!!!!!!
val;Johnny… YoU hIt mE :0
ooSHERRYoo;ummm ummmm lies amber stop the lies
nala_6199;Amber cmon now I really liked u before
Shannon Little;Amber heard ie definitely lying
Gabriela Pachas Campos;Johnny I love You.. Amber you are demonic
LunaLovegood;L’Oréal said NO AMBER IS NOT WORTH IT
woeieuehenshbs;Amber can ruin my life too pls
Pamelapamela5959;We see thru you Amber
Rhonda Baker;L’Oreal couldn’t keep hiding or covering her knuckles from beating Johnny!
woeieuehenshbs;Amber can ruin my life too pls
EllyceJohnson_420;When is Johnny going on the stand
gracie;believe women just not amber
Remona;not everything is about you amber
WAVY_SUNRISE;amber heard smells like fermented sausage
JeezeLouise;L’Oréal cancelled her contract, so if you stop buying them now, that’s supporting Amber
woeieuehenshbs;Amber can ruin my life too pls
Misty dawn;How is the op Ed not about Johnny omg seriously
Mathew;Who ever said justice for Amber adopted
Danielle;Loreal better hire johnny now
Onyx;Dr. Evil  chic is ambers look today
woeieuehenshbs;Amber can ruin my life too pls
user1885222261245;Go step on a bee Amber!
Tonkåbåbå;What is this dress on amber
Ella <3;Is Johnny talking today
johnloyde441;1 for Johnny 2 for Amber
im wierd on next level;Amber Heard should go to jail :)
Terri;she never hardly had offers anyway shes not a big star like Johnny
bella;amber doesn’t need to be guilty
sleepygirl0599;How about that money amber you were supposed to donate
Eireann Hignite;Im making depp merch lol
Marichol;Amber es una mujer pretética. Avergüenza el género femenino.
GoddessA922;All the people in Johnny’s side are total narcissist just like him
Nina Movsesian-Scarlett;She missed out of Johnny’s dough
MC;please full support for johnny
Lia Macall;I thought johnny won already
Gail77_2020;She is a nobody she got what she got because of Johnny
YOUR MOM;Amber fall in a ditch break your ankles
Simamao;WE LOVE YOU JOHNNY!!!
Shanay Quintero;who cares, she had nothing to lose, she was a nobody before Johnny
mr.rgarza;When is Johnnys lawyer going to question her?
user082580;So Johnny wishes to get 50 mil in damages/work, but Amber believes she’s worth 100 mil??!?
Horselover_345;WEEEEEEEE GOOO JOHNNY
nala_6199;Johnnyyy deserves justice
Stacy R;Amber the Narcissist. I think Biden is her speech writer
bettima;Whats ambers net worth? Does she even have that much???
everyone_is-amazing;she abused Johny deppt
.;Amber I want my wig:Jonny Aquaman
Oliwia and me besties;JUSTICE FOR AMBER HEARD
lives9lives;Hmmmm, so THOSE MAKING THE OFFERS DIDNT BELIEVE AMBER EITHER…….
Telma Martins;justice for sweet Johnny
YOUR MOM;WHERE IS JOHNNY BRING JOHNNY BACK WE DONT WANT HER SHES PROLLY HIGH
Stephy Ng;SUPPORT AMBER = SUPPORT LIARS
specialknocereal2.0;She’s been able to get work but Johnny hasn’t
Jennymb7;So she lost L’Oréal but Johnny lost Pirates and many more !! Oky Amber take care of your dog
stereoinferno;She’s lying again, THE STAND WAS CANCELLED. NOT AMBER
M.Jaeger7;Cash app $ MikeyLikey00 for Johnny Justice
Izzy;@tina_0477  Johnny is innocent
Summemes;Nah Johnny depp for the W
.;When is johnnys lawyers going to examin her?
McLOVIN;When are Johnny’s lawyers asking her
Kdiamond;So she did this to herself and now it’s Johnny’s fault? Lmao
user4018538815153;Does Johnny’s team get the same times for questions? Regardless of how long these questions take?
hej.tuKlaudia;Johnny ju hit mi!!!!!
Aerith;Like what is the point of this… bragging about how she still had a career unlike Johnny?
anon1887;If you’ve seen Amber’s acting you’d know she’s LYING
K4mR4i;She doesn’t deserve any work! If it wasn’t for Johnny Depp no one would know who she is!!
movie nerd;what are we gonna do if Johnny is guilty?
Ian Fuller963;Justice for Johnny depp
Tatiana x;justiceforjohnnydepp!!!!!!
Oliwia and me besties;JUSTCICE FOR AMBER HEARDB-D
Crystal King;Into the fire should fire amber
Natalie McLean;I’m sure they are both at fault in many ways. Some of the audios of Jdepp are pretty creepy
Dallas Mel;Shouldn’t have tried to destroy Johnny.
jasmin;yh burn in fire Amber heard
Iman;How is this relevant? Johnny lost even more
maf_ex;#justiceforjohnnydeep
_kostass;justice for johnny depp
:);it’s okay amber my dog stepped on a bee too
Katrina Ann Hill;@ella.xx.x.x Johnny is done with his testimony
Daniela Guerrero1987;only guilty one is amber
monkeys!!;Justice for Johnny bro
user82060207040;She surely gonna have a hard time now because everyone is team Johnny
user6415158536040;who would want to have Amber on any of of there adverts as she is a liar
Nicole._.p;Okay we’re all waiting to see Johnny just end that shit
Remona;you believe everything amber
Nani Montero Paulino;¡AVADA KEDAVRA FOR AMBER!
Savannah Merritt;Are people seriously saying team amber???
yea;AMBER HEARD BACKSHOTS.
Suleika R. Torres;You decide to publish an article to hurt Johnny, now you are hurt cause it but you back
CR7;#justiceforjohnnydepp
Yazzy;and I was "Johnny Johnny you ......"
Natasha;I want more of Johnny
eea.bumbar;Amber you are looking good in orange
Terri;she laughed at johnny for being om 21 jump street them said she in a TV series
XfaithXx12345;team Johnny all the way!
Nor Suy;AMBER HEARD IS DOG.....................
awedolledup;Karma doesn’t feel good, Huh Amber? Yiu made Johnny loose lots of work too.
Basha;Into the fire you go AMBER
noah;justice for Amberjustice for Amber
Ashlynn Piper;this is boring because when johnnys on the stand he at least makes jokes and it’s funny and ofc john
DisneyAdult66;Amber canceled her own career!
monkeys!!;bye amber just stop with the lies
Stephy Ng;SUPPORT AMBER = SUPPORT LIARS
Reina Reina;So basically she got famous from bashing Johnny
backdraftbeats;Starring Johnny Sins lmamooo
shortsismyname;Did you guys know that Amber “heard” she was abuse and narrowly survived
mercuryfruit;ILLUMINATI IS SCARED I HOPE AMBER EXPOSED
aynour;overall this is sad  ...  for Johnny if course
Melissa Ochoa;It’s bc Johnny isn’t strong arming people to hire you …. Witch
Lena K;Can’t believe I see “team amber” lol what’s wrong with people
Natalie Davis;I feel for Johnny she planned to destroy him that’s why she recorded certain fights but no hits
Mary <3;I want to drink mega pints of wine with Johnny
Zayla;Johnny DEPP WE LOVE U WE NEED ARE CAPTIN JACK SPARROW IM NOT WATCHING IT WITHOUT YOU IN IT
Constance;imagine johnny is just drawing stickmen or something
Alexia;johnny we love you so much
shortsismyname;Did you guys know that Amber “heard” she was abuse and narrowly survived
Nor Suy;AMBER HEARD IS DOG.......!!!!!!!!!!!!!!
YOUR MOM;GET HER OFF SHOW JOHNNY
Alisa Richmond;fire amber heard.  shes threw
Alexandra:);johnnys Team ask the question?
oyeahh17;Johnny we support u all the way
shortsismyname;Did you guys know that Amber “heard” she was abuse and narrowly survived
Yesenia Garcia;She wasn’t cover girl material even before Johnny
Judy <3;JOHNNY IS SO CHILL ILM
LaneyMae123456789;And have a dose of what you put depp through..
emo;blah blah yeah shuddup amberturd
Leilani Perez;CANCEL AMBER ON AQUAMAN
ph;when she got botoxs and blame johnny for it
Leilani Perez;CANCEL AMBER ON AQUAMAN
user9556481818593;Relevant bc Amber is countersuing Johnny
ashleyrenekasepch;boycott amber turds movies
Kaitlyn Verzi;Disney failed... I will not he supporting pirates 6 without Johnny
Leilani Perez;CANCEL AMBER ON AQUAMAN
Allison Karene;Let Johnny be on stand!!
Salomé;amber looks abnegation/divergent
LallafelZ;She is counter claiming against Johnny, that’s why she is trying to prove that she incurred damages
Ari;Cancel amber on Aquaman
Leilani Perez;CANCEL AMBER ON AQUAMAN
Klarissa;Team Johnny the whole way!!!!!
Keeping the best;No more Johnny, stop hitting me.
Nor Suy;AMBER HEARD IS DOG.....!!!!!
bettica_17;Amber Heard is a liar and evil.
1dkaname;Ambers story is so bloshy
provoker;LOOK AT MY PROFILE FOR MY VIDEO ON AMBER
Angie.AZ10;I’m new to this trial, is she suing Johnny for lost wages?
Funigal;johnny depp depp depp jonny depp johnny johnny depp
Leilani Perez;CANCEL AMBER ON AQUAMAN
indie and cookie;justice for johnny Depp
Kristen Hanson;Who’s defamation case is this hers or johnnys? Like tf??
Leilani Perez;CANCEL AMBER ON AQUAMAN
chelseafcfan.29.19;Amber your a shit show
Taylor Hennemann925;You slapped me Johnny
s;Im yet to see one proof that Johnny hit her
v4mpirx4 my roblox user <33;LOOLL JOHNNYS LAWYER IS DOING THE SAME NOE
Iker .;team Johnny anyway anyone gives 80 cents for an oreo in chat? my cashapp is $justiker.
Lvl 698420;I JUST WANT TO SEE JOHNNY DEPP
~Hannah~;Johnny is the best !!
Leilani Perez;CANCEL AMBER ON AQUAMAN
Katty3;Johnny Depp necesita a  Harvey Specter así gana sin ningún problema
user9556481818593;Bees are conferring about when to sue Amber
Ashollie Brauer;Aquaman has already stated they DO NOT WANT amber on their team.
Iker .;team Johnny anyway anyone gives 80 cents for an oreo in chat? my cashapp is $justiker
Piggy.;we are proving amber Amber Heard is very very guilty, guilty guilty guilty, Josie and Jay Jay Jay Ja
Luna;#teamjohnny4life!!!!!
Park Minji;I love johnnys attorney I swear
Leilani Perez;CANCEL AMBER ON AQUAMAN
Melannp;Who’s deformation trail is this??? Hers or Johnny’s
Iker .;team Johnny anyway anyone gives 80 cents for an oreo in chat? my cashapp is $justiker .
Crystal Crys831;She destroyed Depp but didn’t like it when the table turned.
Ro V81;the judge totally siding with Amber
..ailey;Give up doll Johnny’s gonna win
GoddessA922;LOL JOHNNY WILL BEAT YOU GUYS ALL UP
user2383279861678;Cast Johnny in Aquaman!
Paz Belen Sanchez Mo;yo. apoyo ah johnny deep
Hilton Elizabeth Hen;At least she got to do the movie. Johnny got dropped completely
calzzabruh;Imagine how Johnny feels losing his movies
Marinaclefer;#justiceforamberheard
TAY;JUSTICE FOR JOHNNY DEPO
Dizzygina;now knows how Johnny feels
beaucoeur13;Now she knows how Johnny felt when he lost jobs bc of her
carinaaa_lopezz;When she talks about herself shes so easy going but when it comes to Johnny eyes evil
_vxviii;What does that got to do with Johnny
user9556481818593;Amber so sad but we just don’t believe you
Necrotic;jus switch out amber heard nobody gonna miss her on aqua man 2
Suzie;Amber you were nobody until Johnny!
tinaelmoreharris;Now you know how Johnny felt
1dkaname;Amber must go to jail
Luna;You deserved it amber
Leilani Perez;LET JOHNNY PLAY IN AQUAMAN
s;Amber ruined her connection with all Hollywood studios hahaha
Quincy Buckley;IM SO OVER THIS TRIAL!!!! Johnny is the only one who is answering his questions without thinking
Anne Kearney;awk God love u JOHNNY lost everything
Bex;she should have been dropped like Johnny was by so many companies.
user9985601666359;Noones going to see it amber
Unknown;naaaah someone said justice for amber
user956410774996;they should have replaced her as Johnny was in fantastic beasts!
Misty Coats;And Johnny lost at least 2 major rolls…stay mad amber!
Stephanie Jara;a role. omg Johnny lost his character
Gayle Martinez;AMBER U ARE THE REASON JOHNNY LOST A LOT OF ROLES AND CASTS!!!! I STAND WITH JOHNNY
:p;johnny loses all his sponsers and amber just gets less scenes…
1dkaname;Visit my acc for amber heard content
emilie potter;johnny needs to showcase all of his drawings after this is all over
Keri Wall;Well Johnny lots all his rolls completely
stereoinferno;AMBER ISNT AGEING WELL
Savannah Merritt;Amber you gonna snort today?
caylenaa;They changed the script but you still in it. Johnny lossttttttt piratesssss
Terri;I hope she never gets q film again for what she has put johnny through
S;Is the judge on ambers side???
Madypapp;Is it still her team questioning or Johnny’s now?
ms. attitude;amber heard is a complete liar
breababes;Least they didn’t cancel you like they did Johnny
Kika;It’s worse for Johnny first of al
TAY;JUSTICE FOR JOHNNY DEPP
Leilani Perez;JOHHNY TO REPLACE AMBER ON AQUAMAN
Elizabeth Cresswe753;johnny we love you amber is crazy and playing games and we all know it
Mirna Magaña;No one will watch it as long as you are in it Amber!
Leilani Perez;JOHHNY TO REPLACE AMBER ON AQUAMAN
MissNaomii;aquaman 2, no one wants to see (makes a amber face)
tinaelmoreharris;Wow...Now you know how Johnny felt
big chillin;amber heard fighting in aqua man would look weird asf
Catherine Olls;say goodbye to Aquaman 2, Amber!
LaBron Lampkin;Amber why did your dog step on a bee
Faria Chowdhury581;JOHNYYYYYYYYYYYYYY DEPPPPPPPPPPPP FOREVERRRRRRRRRR
Anya;they cut down on your roll? boohoo they COMPLETELY took johnny out.
DisneyAdult66;yes Johnny could have benefited from an Amber Alert!
LunaLovegood;Johnny Depp’s lawyers do not play
Lila;WHY IS JOHNNYS LAWYER SO HOT
Leilani Perez;JOHHNY TO REPLACE AMBER ON AQUAMAN
Ang;She couldn’t because she got dragged into this and Johnny is a industry staple
em;amber’s lawyer seems so bad idk
A person;IM GONNA EAT OUT JOHNNY DEPP
Natalie.suarez01;Wow this women really wants to take up all the time possible just to not let Johnnys side go
Kika;JOHNNY DEPP LOST ALL HIS ROLES !!
pricillaburgoss;So what…  Johnny lost every thing
LydiaMaryRose;why isnt this case over already. Amber needs to be gone
ognana_420;bad acting 101 starring amber
Leilani Perez;JOHHNY TO REPLACE AMBER ON AQUAMAN
vic;Ambers lawyer is speaking * I forgot who asked but here’s your answer
Andrea Laidlaw;watch out here comes amber dump lol
Leilani Perez;JOHHNY TO REPLACE AMBER ON AQUAMAN
Jaiden Escarria;Johnny depp better when this
laura_monroyy;let the tears flow Amber 3 2 1
Faith;she ruined Johnny career
snessman;Aquaman will still be good without you!  Pirates would never be the same without Johnny!
user275939841732 ALI;When will Johnny’s councillor be interviewing Amber?
1digitshort2;If all ever fails Amber…. Shit on the carpet
Kristi Finley128;all I hear is how much money does Amber get
Josh;When is Johnny gonna talk
CP;JUSTICE FOR JOHNNY !!!!!!
Savannitty Maysonet;What about Johnny !? He’s completely black listed no one can work with him
esotic_passion;Johnny we are with you!
La Chikiita;The Judge its getting fed up with amber’s lawyer
ashleyrenekasepch;stop supporting amber the abuser
user9942835497567;AMBER HEARD THE THROAT GOAT
albertaevents;no one cares.. what about the severe impact on depp
user8794421393268;Now she knows how Johnny feels….well a little bit. He lost more than her.
Cami;this is ambers lawyer asking the questions
kelllz87xo;#cancelamberheardfromeverything
Jennifer Lods;When Johnny’s team ask Amber ?
ann;justice for Amber and all women they did not believe
For: The Weakest of Us;You mean like how you destroyed Depps career?
Nikole Millard;let not forget amber all this happenwd because of you to begin with.
Diana Thompson233;you keep saying you did everything to  protect Johnny,yet you purposely  took all those hidden video
lmaoldj;johnny is done talking
Moonshine Tee Co;AMBER TURDDDDDDDDDDDD
Cissy_Was_Here;the world sees your lies amber
Luna;all robloz gon be like ABC IF YOU SUPPORT JOHNNY and ABC IF U H8 AMBER lol
James B Ware;I heard she takes big depps
Seth Davis;Amber Heard seems disingenuous and strange
Venting;#justiceforjohnnydepp
Armanito El Taco;Such a big lyer this Amber Heard
agioseosforos;/cam_amber_cry_lyingbitch
Mvilla208;Johnny’s attorneys are gangster!!!
Yayo Jenkins Phillip;Costco is hiring Amber you can work
Steven stifler 1;l love you  jonny depp
Jessica Beltran;Dude when is it Johnny lawyers turn
Sara Hondoy Zelaya;Johnny HAS TO WIN THIS CASE! AMBER SHOULD GO TO A PSYCHIATRIST
HeyItsA;i think amber is just fighting for her pride and name since its obvious that she is lying
robbbysteves;AMBER TUUURDDDDD!!!!!!
